0	90
96	-100
-32	87
50	-61
35	82
-73	19
-42	10
-17	-83
-36	-96
-32	-5
15	-3
-82	17
58	-100
-51	-7
56	-89
84	-49
-68	-99
42	-88
46	-46
9	65
41	33
-65	88
-13	-73
98	-48
-77	63
-10	63
52	-47
68	-53
-83	60
-86	36
-51	63
2	-28
57	-26
53	34
92	-9
91	85
86	-95
97	45
-79	21
-48	-20
-73	-58
-38	80
49	-84
49	69
-15	-73
-81	-97
46	-78
-85	55
-82	70
-50	29
57	89
19	-71
-73	58
-75	-79
77	-33
18	-78
-45	-22
-83	21
-40	-96
29	-64
72	-62
-94	47
-39	71
-10	57
-73	51
23	29
-17	-82
81	1
77	47
-12	89
-76	-26
41	74
-51	-87
-50	-43
-3	-94
-41	17
23	-57
52	12
-92	49
-56	69
99	94
-92	-8
-55	-40
61	30
80	-80
-30	-45
-44	-3
-98	24
40	12
-96	-82
-27	-12
81	67
-41	-89
-91	5
-27	18
-52	2
83	25
85	50
66	-94
50	23
